districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_8	school_39	ELO	-57.3	-2.2
district_8	school_39	EO	-16.8	-70.1
district_8	school_39	FI	NA	NA
district_8	school_39	HI	NA	NA
district_8	school_39	HOM	-12.5	17.5
district_8	school_39	MR	NA	NA
district_8	school_39	RFP	53.7	42.1
district_8	school_39	SED	-25.5	4.8
district_8	school_39	SWD	NA	NA
district_8	school_39	WH	NA	NA
district_8	school_83	AA	NA	NA
district_8	school_83	ALL	36.9	26.9
district_8	school_83	AS	29.8	30.4
district_8	school_83	EL	6.2	6.7
district_8	school_83	ELO	-32.1	-20.5
district_8	school_83	EO	58.7	38.6
district_8	school_83	FI	NA	NA
district_8	school_83	HI	19.1	13.3
district_8	school_83	MR	50.5	17.4
district_8	school_83	RFP	57	42.1
district_8	school_83	SED	-4.8	-0.2
district_8	school_83	SWD	-2.3	-11
district_8	school_83	WH	73.1	42.7
district_8	school_62	AA	-50.4	-26.2
district_8	school_62	AI	NA	NA
district_8	school_62	ALL	-50.8	-23.1
district_8	school_62	AS	NA	NA
district_8	school_62	EL	-56.8	-24.6
district_8	school_62	ELO	-72	-33.4
district_8	school_62	EO	-50.8	-26.2
district_8	school_62	FI	NA	NA
district_8	school_62	FOS	NA	NA
district_8	school_62	HI	-57.4	-27
district_8	school_62	HOM	-61	-35.6
district_8	school_62	MR	NA	NA
district_8	school_62	RFP	NA	NA
district_8	school_62	SED	-58	-27.6
district_8	school_62	SWD	-88.3	-72.2
district_8	school_62	WH	NA	NA
district_8	school_50	AA	-78	-86.3
district_8	school_50	ALL	20.1	31.2
district_8	school_50	AS	33.7	65.4
district_8	school_50	EL	-14.8	17.9
district_8	school_50	ELO	-37.8	2.9
district_8	school_50	EO	30.7	25.8
district_8	school_50	FI	NA	NA
district_8	school_50	FOS	NA	NA
district_8	school_50	HI	-8.1	-22.1
district_8	school_50	HOM	NA	NA
district_8	school_50	MR	58.8	50.3
district_8	school_50	RFP	67.5	71.5
district_8	school_50	SED	-19.4	1.6
district_8	school_50	SWD	-85.8	-77.4
district_8	school_50	WH	66.6	72.3
district_8	school_16	AA	NA	NA
district_8	school_16	ALL	-18.5	-21.6
district_8	school_16	AS	NA	NA
district_8	school_16	EL	-29.2	-33
district_8	school_16	ELO	-48.4	-47.7
district_8	school_16	EO	-2.6	-4.9
district_8	school_16	FI	NA	NA
district_8	school_16	HI	-23.6	-29.2
district_8	school_16	HOM	NA	NA
district_8	school_16	MR	NA	NA
district_8	school_16	PI	NA	NA
district_8	school_16	RFP	73.1	45.2
district_8	school_16	SED	-23.7	-25.2
district_8	school_16	SWD	-92.1	-71.1
district_8	school_16	WH	NA	NA
district_8	school_41	AA	NA	NA
district_8	school_41	AI	NA	NA
district_8	school_41	ALL	53.3	44.7
district_8	school_41	AS	43.8	48.8
district_8	school_41	EL	19.2	26.1
district_8	school_41	ELO	-19.5	-0.7
district_8	school_41	EO	72	54.7
district_8	school_41	FI	NA	NA
district_8	school_41	FOS	NA	NA
district_8	school_41	HI	35.4	-2.4
district_8	school_41	HOM	NA	NA
district_8	school_41	MR	66.8	54.1
district_8	school_41	PI	NA	NA
district_8	school_41	RFP	97.7	80.6
district_8	school_41	SED	9.9	11.5
district_8	school_41	SWD	-6.1	-10.8
district_8	school_41	WH	75.5	58.9
district_8	school_02	AA	-88.5	-99
district_8	school_02	AI	NA	NA
district_8	school_02	ALL	-27.4	-28.2
district_8	school_02	AS	14.1	32.6
district_8	school_02	EL	-11.5	4.4
district_8	school_02	ELO	-35	-9.8
district_8	school_02	EO	-39	-48.3
district_8	school_02	FI	-30.2	-25.7
district_8	school_02	FOS	NA	NA
district_8	school_02	HI	-49.2	-65.4
district_8	school_02	HOM	NA	NA
district_8	school_02	MR	23.5	-5.2
district_8	school_02	PI	NA	NA
district_8	school_02	RFP	34.7	32.2
district_8	school_02	SED	-49.2	-46.5
district_8	school_02	SWD	-115.3	-120.8
district_8	school_02	WH	-10.6	-16.8
district_8	school_06	AA	-47.6	-64
district_8	school_06	AI	NA	NA
district_8	school_06	ALL	68.9	69.3
district_8	school_06	AS	74.5	74.7
district_8	school_06	EL	48.5	52.5
district_8	school_06	ELO	12.2	30.6
district_8	school_06	EO	71.2	69.6
district_8	school_06	FI	NA	NA
district_8	school_06	HI	36.9	41.4
district_8	school_06	HOM	NA	NA
district_8	school_06	MR	45.8	52
district_8	school_06	PI	NA	NA
district_8	school_06	RFP	67.8	64.2
district_8	school_06	SED	56.2	56.6
district_8	school_06	SWD	-40	-43.9
district_8	school_06	WH	86.8	77
district_8	school_78	AA	-146.8	-134.5
district_8	school_78	ALL	-74.5	-82.1
district_8	school_78	AS	NA	NA
district_8	school_78	EL	-89	-94.1
